hostel_name,checkin_date,checkout_date,city,distance,room_type,room_charge,num_reviews,review_total_score
Focus Kuramae,2022-12-04,2022-12-05,Tokyo,Hostel - 9km from city centre,DORMS,₩48326,73 Total Reviews,8.9
hostel DEN,2022-12-04,2022-12-05,Tokyo,Hostel - 7.7km from city centre,PRIVATE,e,371 Total Reviews,8.7
hostel DEN,2022-12-04,2022-12-05,Tokyo,Hostel - 7.7km from city centre,DORMS,₩32217,371 Total Reviews,8.7
TOKYO-W-INN Asakusa,2022-12-04,2022-12-05,Tokyo,Hostel - 9.3km from city centre,PRIVATE,₩104419,18 Total Reviews,8.7
TOKYO-W-INN Asakusa,2022-12-04,2022-12-05,Tokyo,Hostel - 9.3km from city centre,DORMS,₩31930,18 Total Reviews,8.7
UNPLAN Shinjuku,2022-12-04,2022-12-05,Tokyo,Hostel - 1.8km from city centre,PRIVATE,₩441072,655 Total Reviews,8.6
UNPLAN Shinjuku,2022-12-04,2022-12-05,Tokyo,Hostel - 1.8km from city centre,DORMS,₩50819,655 Total Reviews,8.6
Imano Tokyo Hostel,2022-12-04,2022-12-05,Tokyo,Hostel - 1.5km from city centre,PRIVATE,₩119876,1357 Total Reviews,8.5
Imano Tokyo Hostel,2022-12-04,2022-12-05,Tokyo,Hostel - 1.5km from city centre,DORMS,₩38531,1357 Total Reviews,8.5
Obi Hostel,2022-12-04,2022-12-05,Tokyo,Hostel - 8.2km from city centre,PRIVATE,e,287 Total Reviews,8.3
Obi Hostel,2022-12-04,2022-12-05,Tokyo,Hostel - 8.2km from city centre,DORMS,₩42957,287 Total Reviews,8.3
Capsule Hotel Anshin Oyado Akihabara,2022-12-04,2022-12-05,Tokyo,Hotel - 7.2km from city centre,PRIVATE,e,13 Total Reviews,8.3
Capsule Hotel Anshin Oyado Akihabara,2022-12-04,2022-12-05,Tokyo,Hotel - 7.2km from city centre,DORMS,₩54894,13 Total Reviews,8.3
Little Japan,2022-12-04,2022-12-05,Tokyo,Hostel - 8.5km from city centre,PRIVATE,e,67 Total Reviews,8.1
Little Japan,2022-12-04,2022-12-05,Tokyo,Hostel - 8.5km from city centre,DORMS,₩36916,67 Total Reviews,8.1
&AND HOSTEL MINAMISENJU,2022-12-04,2022-12-05,Tokyo,Hostel - 10.7km from city centre,PRIVATE,₩60120,5 Total Reviews,8.0
&AND HOSTEL MINAMISENJU,2022-12-04,2022-12-05,Tokyo,Hostel - 10.7km from city centre,DORMS,₩46984,5 Total Reviews,8.0
Juyoh Hotel,2022-12-04,2022-12-05,Tokyo,Hotel - 10.7km from city centre,PRIVATE,₩28238,124 Total Reviews,7.4
Juyoh Hotel,2022-12-04,2022-12-05,Tokyo,Hotel - 10.7km from city centre,DORMS,e,124 Total Reviews,7.4
Almond hostel & cafe Shibuya,2022-12-04,2022-12-05,Tokyo,Hostel - 2.2km from city centre,PRIVATE,e,254 Total Reviews,7.3
Almond hostel & cafe Shibuya,2022-12-04,2022-12-05,Tokyo,Hostel - 2.2km from city centre,DORMS,₩81311,254 Total Reviews,7.3
Tokyo House Inn,2022-12-04,2022-12-05,Tokyo,Hotel - 1.5km from city centre,PRIVATE,₩19177015,66 Total Reviews,NO
Tokyo House Inn,2022-12-04,2022-12-05,Tokyo,Hotel - 1.5km from city centre,DORMS,₩9588508,66 Total Reviews,NO
&And Hostel Asakusa Kappabashi,2022-12-04,2022-12-05,Tokyo,Hostel - 9km from city centre,PRIVATE,₩117363,0 Total Reviews,NO
&And Hostel Asakusa Kappabashi,2022-12-04,2022-12-05,Tokyo,Hostel - 9km from city centre,DORMS,e,0 Total Reviews,NO
Top  Edge Hostel Koenji,2022-12-04,2022-12-05,Tokyo,Hostel - 4.2km from city centre,PRIVATE,e,12 Total Reviews,NO
Top  Edge Hostel Koenji,2022-12-04,2022-12-05,Tokyo,Hostel - 4.2km from city centre,DORMS,₩33560,12 Total Reviews,NO
Quality Hostel K's House Tokyo Oasis,2022-12-04,2022-12-05,Tokyo,Hostel - 9.6km from city centre,PRIVATE,₩94639,1041 Total Reviews,NO
Quality Hostel K's House Tokyo Oasis,2022-12-04,2022-12-05,Tokyo,Hostel - 9.6km from city centre,DORMS,e,1041 Total Reviews,NO
