hostel_name,checkin_date,checkout_date,city,distance,room_type,room_charge,num_reviews,review_total_score
Sakura Hotel Jimbocho,2022-12-09,2022-12-010,Tokyo,Hostel - 5.9km from city centre,PRIVATE,₩65240,444 Total Reviews,9.5
Sakura Hotel Jimbocho,2022-12-09,2022-12-010,Tokyo,Hostel - 5.9km from city centre,DORMS,₩39351,444 Total Reviews,9.5
plat hostel keikyu haneda home,2022-12-09,2022-12-010,Tokyo,Hostel - 16.6km from city centre,PRIVATE,₩179497,20 Total Reviews,9.5
plat hostel keikyu haneda home,2022-12-09,2022-12-010,Tokyo,Hostel - 16.6km from city centre,DORMS,₩43494,20 Total Reviews,9.5
Imano Tokyo Ginza Hostel,2022-12-09,2022-12-010,Tokyo,Hostel - 7.6km from city centre,PRIVATE,e,262 Total Reviews,9.4
Imano Tokyo Ginza Hostel,2022-12-09,2022-12-010,Tokyo,Hostel - 7.6km from city centre,DORMS,₩55110,262 Total Reviews,9.4
Sakura Hotel Ikebukuro,2022-12-09,2022-12-010,Tokyo,Hostel - 5.1km from city centre,PRIVATE,₩527752,583 Total Reviews,9.3
Sakura Hotel Ikebukuro,2022-12-09,2022-12-010,Tokyo,Hostel - 5.1km from city centre,DORMS,e,583 Total Reviews,9.3
Sakura Hostel Asakusa,2022-12-09,2022-12-010,Tokyo,Hostel - 9.8km from city centre,PRIVATE,₩92786,2170 Total Reviews,9.2
Sakura Hostel Asakusa,2022-12-09,2022-12-010,Tokyo,Hostel - 9.8km from city centre,DORMS,₩28909,2170 Total Reviews,9.2
UNPLAN Kagurazaka,2022-12-09,2022-12-010,Tokyo,Hostel - 4km from city centre,PRIVATE,₩230124,967 Total Reviews,9.2
UNPLAN Kagurazaka,2022-12-09,2022-12-010,Tokyo,Hostel - 4km from city centre,DORMS,₩69037,967 Total Reviews,9.2
Grids Tokyo Ueno Hotel & Hostel,2022-12-09,2022-12-010,Tokyo,Hostel - 8.4km from city centre,PRIVATE,e,20 Total Reviews,9.1
Grids Tokyo Ueno Hotel & Hostel,2022-12-09,2022-12-010,Tokyo,Hostel - 8.4km from city centre,DORMS,₩42084,20 Total Reviews,9.1
Grids Tokyo Asakusa-Bashi Hotel&Hostel,2022-12-09,2022-12-010,Tokyo,Hostel - 8.3km from city centre,PRIVATE,e,245 Total Reviews,9.0
Grids Tokyo Asakusa-Bashi Hotel&Hostel,2022-12-09,2022-12-010,Tokyo,Hostel - 8.3km from city centre,DORMS,₩45090,245 Total Reviews,9.0
Hostel bedgasm,2022-12-09,2022-12-010,Tokyo,Hostel - 9.5km from city centre,PRIVATE,e,1314 Total Reviews,9.0
Hostel bedgasm,2022-12-09,2022-12-010,Tokyo,Hostel - 9.5km from city centre,DORMS,₩36436,1314 Total Reviews,9.0
The Millennials Shibuya,2022-12-09,2022-12-010,Tokyo,Hotel - 3.1km from city centre,PRIVATE,e,114 Total Reviews,9.0
The Millennials Shibuya,2022-12-09,2022-12-010,Tokyo,Hotel - 3.1km from city centre,DORMS,₩191291,114 Total Reviews,9.0
Focus Kuramae,2022-12-09,2022-12-010,Tokyo,Hostel - 9km from city centre,PRIVATE,e,73 Total Reviews,8.9
Focus Kuramae,2022-12-09,2022-12-010,Tokyo,Hostel - 9km from city centre,DORMS,₩51347,73 Total Reviews,8.9
TOKYO-W-INN Asakusa,2022-12-09,2022-12-010,Tokyo,Hostel - 9.3km from city centre,PRIVATE,e,18 Total Reviews,8.7
TOKYO-W-INN Asakusa,2022-12-09,2022-12-010,Tokyo,Hostel - 9.3km from city centre,DORMS,₩37971,18 Total Reviews,8.7
UNPLAN Shinjuku,2022-12-09,2022-12-010,Tokyo,Hostel - 1.8km from city centre,PRIVATE,₩594488,655 Total Reviews,8.6
UNPLAN Shinjuku,2022-12-09,2022-12-010,Tokyo,Hostel - 1.8km from city centre,DORMS,₩53696,655 Total Reviews,8.6
Imano Tokyo Hostel,2022-12-09,2022-12-010,Tokyo,Hostel - 1.5km from city centre,PRIVATE,e,1357 Total Reviews,8.5
Imano Tokyo Hostel,2022-12-09,2022-12-010,Tokyo,Hostel - 1.5km from city centre,DORMS,₩55110,1357 Total Reviews,8.5
Obi Hostel,2022-12-09,2022-12-010,Tokyo,Hostel - 8.2km from city centre,PRIVATE,e,287 Total Reviews,8.3
Obi Hostel,2022-12-09,2022-12-010,Tokyo,Hostel - 8.2km from city centre,DORMS,₩66928,287 Total Reviews,8.3
Little Japan,2022-12-09,2022-12-010,Tokyo,Hostel - 8.5km from city centre,PRIVATE,₩73832,67 Total Reviews,8.1
Little Japan,2022-12-09,2022-12-010,Tokyo,Hostel - 8.5km from city centre,DORMS,₩36916,67 Total Reviews,8.1
&AND HOSTEL MINAMISENJU,2022-12-09,2022-12-010,Tokyo,Hostel - 10.7km from city centre,PRIVATE,₩100679,5 Total Reviews,8.0
&AND HOSTEL MINAMISENJU,2022-12-09,2022-12-010,Tokyo,Hostel - 10.7km from city centre,DORMS,₩50340,5 Total Reviews,8.0
Juyoh Hotel,2022-12-09,2022-12-010,Tokyo,Hotel - 10.7km from city centre,PRIVATE,₩30060,124 Total Reviews,7.4
Juyoh Hotel,2022-12-09,2022-12-010,Tokyo,Hotel - 10.7km from city centre,DORMS,e,124 Total Reviews,7.4
Almond hostel & cafe Shibuya,2022-12-09,2022-12-010,Tokyo,Hostel - 2.2km from city centre,PRIVATE,e,254 Total Reviews,7.3
Almond hostel & cafe Shibuya,2022-12-09,2022-12-010,Tokyo,Hostel - 2.2km from city centre,DORMS,₩90899,254 Total Reviews,7.3
Tokyo House Inn,2022-12-09,2022-12-010,Tokyo,Hotel - 1.5km from city centre,PRIVATE,₩19177015,66 Total Reviews,NO
Tokyo House Inn,2022-12-09,2022-12-010,Tokyo,Hotel - 1.5km from city centre,DORMS,₩9588508,66 Total Reviews,NO
&And Hostel Asakusa Kappabashi,2022-12-09,2022-12-010,Tokyo,Hostel - 9km from city centre,PRIVATE,₩124699,0 Total Reviews,NO
&And Hostel Asakusa Kappabashi,2022-12-09,2022-12-010,Tokyo,Hostel - 9km from city centre,DORMS,e,0 Total Reviews,NO
Top  Edge Hostel Koenji,2022-12-09,2022-12-010,Tokyo,Hostel - 4.2km from city centre,PRIVATE,e,12 Total Reviews,NO
Top  Edge Hostel Koenji,2022-12-09,2022-12-010,Tokyo,Hostel - 4.2km from city centre,DORMS,₩32601,12 Total Reviews,NO
1night1980hostel Tokyo,2022-12-09,2022-12-010,Tokyo,Hostel - 9.4km from city centre,PRIVATE,e,287 Total Reviews,NO
1night1980hostel Tokyo,2022-12-09,2022-12-010,Tokyo,Hostel - 9.4km from city centre,DORMS,₩23971,287 Total Reviews,NO
HOTEL ADONIS near Shibuya-Male only Dorm and Group,2022-12-09,2022-12-010,Tokyo,Hostel - 3.6km from city centre,PRIVATE,e,0 Total Reviews,NO
HOTEL ADONIS near Shibuya-Male only Dorm and Group,2022-12-09,2022-12-010,Tokyo,Hostel - 3.6km from city centre,DORMS,₩73832,0 Total Reviews,NO
Capsule Hotel Anshin Oyado Ogikubo,2022-12-09,2022-12-010,Tokyo,Hostel - 6.6km from city centre,PRIVATE,e,3 Total Reviews,NO
Capsule Hotel Anshin Oyado Ogikubo,2022-12-09,2022-12-010,Tokyo,Hostel - 6.6km from city centre,DORMS,₩71914,3 Total Reviews,NO
Hisayo's Inn,2022-12-09,2022-12-010,Tokyo,Hostel - 15.7km from city centre,PRIVATE,e,9 Total Reviews,NO
Hisayo's Inn,2022-12-09,2022-12-010,Tokyo,Hostel - 15.7km from city centre,DORMS,₩32793,9 Total Reviews,NO
"Wild Cherry Blossom-HOSTEL,TOKYO KOGANEI-",2022-12-10,2022-12-11,Tokyo,Hostel - 16.6km from city centre,PRIVATE,₩126568,5 Total Reviews,9.6
"Wild Cherry Blossom-HOSTEL,TOKYO KOGANEI-",2022-12-10,2022-12-11,Tokyo,Hostel - 16.6km from city centre,DORMS,₩52737,5 Total Reviews,9.6
Grids Tokyo Asakusa-Bashi Hotel&Hostel,2022-12-10,2022-12-11,Tokyo,Hostel - 8.3km from city centre,PRIVATE,e,245 Total Reviews,9.0
Grids Tokyo Asakusa-Bashi Hotel&Hostel,2022-12-10,2022-12-11,Tokyo,Hostel - 8.3km from city centre,DORMS,₩45090,245 Total Reviews,9.0
Hostel bedgasm,2022-12-10,2022-12-11,Tokyo,Hostel - 9.5km from city centre,PRIVATE,e,1314 Total Reviews,9.0
Hostel bedgasm,2022-12-10,2022-12-11,Tokyo,Hostel - 9.5km from city centre,DORMS,₩36436,1314 Total Reviews,9.0
The Millennials Shibuya,2022-12-10,2022-12-11,Tokyo,Hotel - 3.1km from city centre,PRIVATE,e,114 Total Reviews,9.0
The Millennials Shibuya,2022-12-10,2022-12-11,Tokyo,Hotel - 3.1km from city centre,DORMS,₩266561,114 Total Reviews,9.0
TOKYO-W-INN Asakusa,2022-12-10,2022-12-11,Tokyo,Hostel - 9.3km from city centre,PRIVATE,e,18 Total Reviews,8.7
TOKYO-W-INN Asakusa,2022-12-10,2022-12-11,Tokyo,Hostel - 9.3km from city centre,DORMS,₩53504,18 Total Reviews,8.7
UNPLAN Shinjuku,2022-12-10,2022-12-11,Tokyo,Hostel - 1.8km from city centre,PRIVATE,e,655 Total Reviews,8.6
UNPLAN Shinjuku,2022-12-10,2022-12-11,Tokyo,Hostel - 1.8km from city centre,DORMS,₩71914,655 Total Reviews,8.6
Imano Tokyo Hostel,2022-12-10,2022-12-11,Tokyo,Hostel - 1.5km from city centre,PRIVATE,e,1357 Total Reviews,8.5
Imano Tokyo Hostel,2022-12-10,2022-12-11,Tokyo,Hostel - 1.5km from city centre,DORMS,₩55110,1357 Total Reviews,8.5
&AND HOSTEL MINAMISENJU,2022-12-10,2022-12-11,Tokyo,Hostel - 10.7km from city centre,PRIVATE,₩134239,5 Total Reviews,8.0
&AND HOSTEL MINAMISENJU,2022-12-10,2022-12-11,Tokyo,Hostel - 10.7km from city centre,DORMS,₩57052,5 Total Reviews,8.0
Tokyo House Inn,2022-12-10,2022-12-11,Tokyo,Hotel - 1.5km from city centre,PRIVATE,₩19177015,66 Total Reviews,NO
Tokyo House Inn,2022-12-10,2022-12-11,Tokyo,Hotel - 1.5km from city centre,DORMS,₩9588508,66 Total Reviews,NO
1night1980hostel Tokyo,2022-12-10,2022-12-11,Tokyo,Hostel - 9.4km from city centre,PRIVATE,e,287 Total Reviews,NO
1night1980hostel Tokyo,2022-12-10,2022-12-11,Tokyo,Hostel - 9.4km from city centre,DORMS,₩23971,287 Total Reviews,NO
HOTEL ADONIS near Shibuya-Male only Dorm and Group,2022-12-10,2022-12-11,Tokyo,Hostel - 3.6km from city centre,PRIVATE,e,0 Total Reviews,NO
HOTEL ADONIS near Shibuya-Male only Dorm and Group,2022-12-10,2022-12-11,Tokyo,Hostel - 3.6km from city centre,DORMS,₩79105,0 Total Reviews,NO
Capsule Hotel Anshin Oyado Shinbashi,2022-12-10,2022-12-11,Tokyo,Hotel - 6.6km from city centre,PRIVATE,e,1 Total Review,NO
Capsule Hotel Anshin Oyado Shinbashi,2022-12-10,2022-12-11,Tokyo,Hotel - 6.6km from city centre,DORMS,₩76708,1 Total Review,NO
Hotel CEN,2022-12-10,2022-12-11,Tokyo,Hostel - 1.4km from city centre,PRIVATE,₩315462,6 Total Reviews,NO
Hotel CEN,2022-12-10,2022-12-11,Tokyo,Hostel - 1.4km from city centre,DORMS,e,6 Total Reviews,NO
Guesthouse Sensu,2022-12-10,2022-12-11,Tokyo,Hostel - 15.7km from city centre,PRIVATE,e,30 Total Reviews,NO
Guesthouse Sensu,2022-12-10,2022-12-11,Tokyo,Hostel - 15.7km from city centre,DORMS,₩57531,30 Total Reviews,NO
Time Sharing Stay Asakusa,2022-12-11,2022-12-12,Tokyo,Hostel - 9.8km from city centre,PRIVATE,₩107391,2 Total Reviews,10
Time Sharing Stay Asakusa,2022-12-11,2022-12-12,Tokyo,Hostel - 9.8km from city centre,DORMS,₩45306,2 Total Reviews,10
Guest House Shinagawa-shuku Tokyo,2022-12-11,2022-12-12,Tokyo,Hostel - 8.7km from city centre,PRIVATE,₩56572,324 Total Reviews,10
Guest House Shinagawa-shuku Tokyo,2022-12-11,2022-12-12,Tokyo,Hostel - 8.7km from city centre,DORMS,₩41231,324 Total Reviews,10
CITAN Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 8.1km from city centre,PRIVATE,₩93200,935 Total Reviews,9.7
CITAN Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 8.1km from city centre,DORMS,₩36245,935 Total Reviews,9.7
"Wild Cherry Blossom-HOSTEL,TOKYO KOGANEI-",2022-12-11,2022-12-12,Tokyo,Hostel - 16.6km from city centre,PRIVATE,₩126568,5 Total Reviews,9.6
"Wild Cherry Blossom-HOSTEL,TOKYO KOGANEI-",2022-12-11,2022-12-12,Tokyo,Hostel - 16.6km from city centre,DORMS,₩52737,5 Total Reviews,9.6
Sakura Hotel Jimbocho,2022-12-11,2022-12-12,Tokyo,Hostel - 5.9km from city centre,PRIVATE,₩54367,444 Total Reviews,9.5
Sakura Hotel Jimbocho,2022-12-11,2022-12-12,Tokyo,Hostel - 5.9km from city centre,DORMS,₩32793,444 Total Reviews,9.5
plat hostel keikyu haneda home,2022-12-11,2022-12-12,Tokyo,Hostel - 16.6km from city centre,PRIVATE,₩79393,20 Total Reviews,9.5
plat hostel keikyu haneda home,2022-12-11,2022-12-12,Tokyo,Hostel - 16.6km from city centre,DORMS,₩37280,20 Total Reviews,9.5
Nui. Hostel & Bar Lounge,2022-12-11,2022-12-12,Tokyo,Hostel - 9.3km from city centre,PRIVATE,₩99241,1678 Total Reviews,9.4
Nui. Hostel & Bar Lounge,2022-12-11,2022-12-12,Tokyo,Hostel - 9.3km from city centre,DORMS,₩38833,1678 Total Reviews,9.4
Imano Tokyo Ginza Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 7.6km from city centre,PRIVATE,e,262 Total Reviews,9.4
Imano Tokyo Ginza Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 7.6km from city centre,DORMS,₩45090,262 Total Reviews,9.4
plat hostel keikyu minowa forest,2022-12-11,2022-12-12,Tokyo,Hostel - 10km from city centre,PRIVATE,₩69037,11 Total Reviews,9.3
plat hostel keikyu minowa forest,2022-12-11,2022-12-12,Tokyo,Hostel - 10km from city centre,DORMS,e,11 Total Reviews,9.3
Sakura Hotel Ikebukuro,2022-12-11,2022-12-12,Tokyo,Hostel - 5.1km from city centre,PRIVATE,₩167684,583 Total Reviews,9.3
Sakura Hotel Ikebukuro,2022-12-11,2022-12-12,Tokyo,Hostel - 5.1km from city centre,DORMS,₩29993,583 Total Reviews,9.3
Sakura Hostel Asakusa,2022-12-11,2022-12-12,Tokyo,Hostel - 9.8km from city centre,PRIVATE,₩89317,2170 Total Reviews,9.2
Sakura Hostel Asakusa,2022-12-11,2022-12-12,Tokyo,Hostel - 9.8km from city centre,DORMS,₩30962,2170 Total Reviews,9.2
UNPLAN Kagurazaka,2022-12-11,2022-12-12,Tokyo,Hostel - 4km from city centre,PRIVATE,₩230124,967 Total Reviews,9.2
UNPLAN Kagurazaka,2022-12-11,2022-12-12,Tokyo,Hostel - 4km from city centre,DORMS,₩47943,967 Total Reviews,9.2
Grids Tokyo Ueno Hotel & Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 8.4km from city centre,PRIVATE,e,20 Total Reviews,9.1
Grids Tokyo Ueno Hotel & Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 8.4km from city centre,DORMS,₩42084,20 Total Reviews,9.1
Grids Tokyo Asakusa-Bashi Hotel&Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 8.3km from city centre,PRIVATE,₩71643,245 Total Reviews,9.0
Grids Tokyo Asakusa-Bashi Hotel&Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 8.3km from city centre,DORMS,₩33567,245 Total Reviews,9.0
Hostel bedgasm,2022-12-11,2022-12-12,Tokyo,Hostel - 9.5km from city centre,PRIVATE,e,1314 Total Reviews,9.0
Hostel bedgasm,2022-12-11,2022-12-12,Tokyo,Hostel - 9.5km from city centre,DORMS,₩36436,1314 Total Reviews,9.0
The Millennials Shibuya,2022-12-11,2022-12-12,Tokyo,Hotel - 3.1km from city centre,PRIVATE,e,114 Total Reviews,9.0
The Millennials Shibuya,2022-12-11,2022-12-12,Tokyo,Hotel - 3.1km from city centre,DORMS,₩118418,114 Total Reviews,9.0
Focus Kuramae,2022-12-11,2022-12-12,Tokyo,Hostel - 9km from city centre,PRIVATE,₩100967,73 Total Reviews,8.9
Focus Kuramae,2022-12-11,2022-12-12,Tokyo,Hostel - 9km from city centre,DORMS,₩48326,73 Total Reviews,8.9
hostel DEN,2022-12-11,2022-12-12,Tokyo,Hostel - 7.7km from city centre,PRIVATE,e,371 Total Reviews,8.7
hostel DEN,2022-12-11,2022-12-12,Tokyo,Hostel - 7.7km from city centre,DORMS,₩32217,371 Total Reviews,8.7
TOKYO-W-INN Asakusa,2022-12-11,2022-12-12,Tokyo,Hostel - 9.3km from city centre,PRIVATE,₩131171,18 Total Reviews,8.7
TOKYO-W-INN Asakusa,2022-12-11,2022-12-12,Tokyo,Hostel - 9.3km from city centre,DORMS,₩37971,18 Total Reviews,8.7
UNPLAN Shinjuku,2022-12-11,2022-12-12,Tokyo,Hostel - 1.8km from city centre,PRIVATE,e,655 Total Reviews,8.6
UNPLAN Shinjuku,2022-12-11,2022-12-12,Tokyo,Hostel - 1.8km from city centre,DORMS,₩49860,655 Total Reviews,8.6
Imano Tokyo Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 1.5km from city centre,PRIVATE,₩111222,1357 Total Reviews,8.5
Imano Tokyo Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 1.5km from city centre,DORMS,₩33567,1357 Total Reviews,8.5
Obi Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 8.2km from city centre,PRIVATE,e,287 Total Reviews,8.3
Obi Hostel,2022-12-11,2022-12-12,Tokyo,Hostel - 8.2km from city centre,DORMS,₩47751,287 Total Reviews,8.3
Capsule Hotel Anshin Oyado Akihabara,2022-12-11,2022-12-12,Tokyo,Hotel - 7.2km from city centre,PRIVATE,e,13 Total Reviews,8.3
Capsule Hotel Anshin Oyado Akihabara,2022-12-11,2022-12-12,Tokyo,Hotel - 7.2km from city centre,DORMS,₩54894,13 Total Reviews,8.3
Little Japan,2022-12-11,2022-12-12,Tokyo,Hostel - 8.5km from city centre,PRIVATE,₩73832,67 Total Reviews,8.1
Little Japan,2022-12-11,2022-12-12,Tokyo,Hostel - 8.5km from city centre,DORMS,₩36916,67 Total Reviews,8.1
&AND HOSTEL MINAMISENJU,2022-12-11,2022-12-12,Tokyo,Hostel - 10.7km from city centre,PRIVATE,₩93967,5 Total Reviews,8.0
&AND HOSTEL MINAMISENJU,2022-12-11,2022-12-12,Tokyo,Hostel - 10.7km from city centre,DORMS,₩46984,5 Total Reviews,8.0
Juyoh Hotel,2022-12-11,2022-12-12,Tokyo,Hotel - 10.7km from city centre,PRIVATE,₩28238,124 Total Reviews,7.4
Juyoh Hotel,2022-12-11,2022-12-12,Tokyo,Hotel - 10.7km from city centre,DORMS,e,124 Total Reviews,7.4
Almond hostel & cafe Shibuya,2022-12-11,2022-12-12,Tokyo,Hostel - 2.2km from city centre,PRIVATE,e,254 Total Reviews,7.3
Almond hostel & cafe Shibuya,2022-12-11,2022-12-12,Tokyo,Hostel - 2.2km from city centre,DORMS,₩43915,254 Total Reviews,7.3
Tokyo House Inn,2022-12-11,2022-12-12,Tokyo,Hotel - 1.5km from city centre,PRIVATE,₩19177015,66 Total Reviews,NO
Tokyo House Inn,2022-12-11,2022-12-12,Tokyo,Hotel - 1.5km from city centre,DORMS,₩9588508,66 Total Reviews,NO
Tokyo Guest Nihonbashi,2022-12-11,2022-12-12,Tokyo,Hostel - 7.7km from city centre,PRIVATE,₩38344,6 Total Reviews,NO
Tokyo Guest Nihonbashi,2022-12-11,2022-12-12,Tokyo,Hostel - 7.7km from city centre,DORMS,e,6 Total Reviews,NO
&And Hostel Asakusa Kappabashi,2022-12-11,2022-12-12,Tokyo,Hostel - 9km from city centre,PRIVATE,₩117363,0 Total Reviews,NO
&And Hostel Asakusa Kappabashi,2022-12-11,2022-12-12,Tokyo,Hostel - 9km from city centre,DORMS,e,0 Total Reviews,NO
Time Sharing Stay Asakusa,2022-12-13,2022-12-14,Tokyo,Hostel - 9.8km from city centre,PRIVATE,₩107391,2 Total Reviews,10
Time Sharing Stay Asakusa,2022-12-13,2022-12-14,Tokyo,Hostel - 9.8km from city centre,DORMS,₩45306,2 Total Reviews,10
Guest House Shinagawa-shuku Tokyo,2022-12-13,2022-12-14,Tokyo,Hostel - 8.7km from city centre,PRIVATE,₩56572,324 Total Reviews,10
Guest House Shinagawa-shuku Tokyo,2022-12-13,2022-12-14,Tokyo,Hostel - 8.7km from city centre,DORMS,₩41231,324 Total Reviews,10
CITAN Hostel,2022-12-13,2022-12-14,Tokyo,Hostel - 8.1km from city centre,PRIVATE,₩93200,935 Total Reviews,9.7
CITAN Hostel,2022-12-13,2022-12-14,Tokyo,Hostel - 8.1km from city centre,DORMS,₩37971,935 Total Reviews,9.7
"Wild Cherry Blossom-HOSTEL,TOKYO KOGANEI-",2022-12-13,2022-12-14,Tokyo,Hostel - 16.6km from city centre,PRIVATE,₩126568,5 Total Reviews,9.6
"Wild Cherry Blossom-HOSTEL,TOKYO KOGANEI-",2022-12-13,2022-12-14,Tokyo,Hostel - 16.6km from city centre,DORMS,₩52737,5 Total Reviews,9.6
Sakura Hotel Jimbocho,2022-12-13,2022-12-14,Tokyo,Hostel - 5.9km from city centre,PRIVATE,₩54367,444 Total Reviews,9.5
Sakura Hotel Jimbocho,2022-12-13,2022-12-14,Tokyo,Hostel - 5.9km from city centre,DORMS,₩32793,444 Total Reviews,9.5
plat hostel keikyu haneda home,2022-12-13,2022-12-14,Tokyo,Hostel - 16.6km from city centre,PRIVATE,₩79393,20 Total Reviews,9.5
plat hostel keikyu haneda home,2022-12-13,2022-12-14,Tokyo,Hostel - 16.6km from city centre,DORMS,₩34173,20 Total Reviews,9.5
Nui. Hostel & Bar Lounge,2022-12-13,2022-12-14,Tokyo,Hostel - 9.3km from city centre,PRIVATE,₩99241,1678 Total Reviews,9.4
Nui. Hostel & Bar Lounge,2022-12-13,2022-12-14,Tokyo,Hostel - 9.3km from city centre,DORMS,₩37108,1678 Total Reviews,9.4
plat hostel keikyu minowa forest,2022-12-13,2022-12-14,Tokyo,Hostel - 10km from city centre,PRIVATE,₩93200,11 Total Reviews,9.3
plat hostel keikyu minowa forest,2022-12-13,2022-12-14,Tokyo,Hostel - 10km from city centre,DORMS,e,11 Total Reviews,9.3
Sakura Hotel Ikebukuro,2022-12-13,2022-12-14,Tokyo,Hostel - 5.1km from city centre,PRIVATE,₩63514,583 Total Reviews,9.3
Sakura Hotel Ikebukuro,2022-12-13,2022-12-14,Tokyo,Hostel - 5.1km from city centre,DORMS,₩29993,583 Total Reviews,9.3
Sakura Hostel Asakusa,2022-12-13,2022-12-14,Tokyo,Hostel - 9.8km from city centre,PRIVATE,₩86728,2170 Total Reviews,9.2
Sakura Hostel Asakusa,2022-12-13,2022-12-14,Tokyo,Hostel - 9.8km from city centre,DORMS,₩28909,2170 Total Reviews,9.2
UNPLAN Kagurazaka,2022-12-13,2022-12-14,Tokyo,Hostel - 4km from city centre,PRIVATE,₩191770,967 Total Reviews,9.2
UNPLAN Kagurazaka,2022-12-13,2022-12-14,Tokyo,Hostel - 4km from city centre,DORMS,₩43148,967 Total Reviews,9.2
Grids Tokyo Ueno Hotel & Hostel,2022-12-13,2022-12-14,Tokyo,Hostel - 8.4km from city centre,PRIVATE,₩162324,20 Total Reviews,9.1
Grids Tokyo Ueno Hotel & Hostel,2022-12-13,2022-12-14,Tokyo,Hostel - 8.4km from city centre,DORMS,₩45090,20 Total Reviews,9.1
Grids Tokyo Asakusa-Bashi Hotel&Hostel,2022-12-13,2022-12-14,Tokyo,Hostel - 8.3km from city centre,PRIVATE,e,245 Total Reviews,9.0
Grids Tokyo Asakusa-Bashi Hotel&Hostel,2022-12-13,2022-12-14,Tokyo,Hostel - 8.3km from city centre,DORMS,₩33567,245 Total Reviews,9.0
Hostel bedgasm,2022-12-13,2022-12-14,Tokyo,Hostel - 9.5km from city centre,PRIVATE,₩84379,1314 Total Reviews,9.0
Hostel bedgasm,2022-12-13,2022-12-14,Tokyo,Hostel - 9.5km from city centre,DORMS,₩28766,1314 Total Reviews,9.0
The Millennials Shibuya,2022-12-13,2022-12-14,Tokyo,Hotel - 3.1km from city centre,PRIVATE,e,114 Total Reviews,9.0
The Millennials Shibuya,2022-12-13,2022-12-14,Tokyo,Hotel - 3.1km from city centre,DORMS,₩122973,114 Total Reviews,9.0
Focus Kuramae,2022-12-13,2022-12-14,Tokyo,Hostel - 9km from city centre,PRIVATE,₩128151,73 Total Reviews,8.9
Focus Kuramae,2022-12-13,2022-12-14,Tokyo,Hostel - 9km from city centre,DORMS,₩48326,73 Total Reviews,8.9
hostel DEN,2022-12-13,2022-12-14,Tokyo,Hostel - 7.7km from city centre,PRIVATE,₩103556,371 Total Reviews,8.7
hostel DEN,2022-12-13,2022-12-14,Tokyo,Hostel - 7.7km from city centre,DORMS,₩32217,371 Total Reviews,8.7
TOKYO-W-INN Asakusa,2022-12-13,2022-12-14,Tokyo,Hostel - 9.3km from city centre,PRIVATE,₩104419,18 Total Reviews,8.7
TOKYO-W-INN Asakusa,2022-12-13,2022-12-14,Tokyo,Hostel - 9.3km from city centre,DORMS,₩37971,18 Total Reviews,8.7
UNPLAN Shinjuku,2022-12-13,2022-12-14,Tokyo,Hostel - 1.8km from city centre,PRIVATE,e,655 Total Reviews,8.6
UNPLAN Shinjuku,2022-12-13,2022-12-14,Tokyo,Hostel - 1.8km from city centre,DORMS,₩55613,655 Total Reviews,8.6
Imano Tokyo Hostel,2022-12-13,2022-12-14,Tokyo,Hostel - 1.5km from city centre,PRIVATE,e,1357 Total Reviews,8.5
Imano Tokyo Hostel,2022-12-13,2022-12-14,Tokyo,Hostel - 1.5km from city centre,DORMS,₩45090,1357 Total Reviews,8.5
Obi Hostel,2022-12-13,2022-12-14,Tokyo,Hostel - 8.2km from city centre,PRIVATE,e,287 Total Reviews,8.3
Obi Hostel,2022-12-13,2022-12-14,Tokyo,Hostel - 8.2km from city centre,DORMS,₩47751,287 Total Reviews,8.3
Capsule Hotel Anshin Oyado Akihabara,2022-12-13,2022-12-14,Tokyo,Hotel - 7.2km from city centre,PRIVATE,e,13 Total Reviews,8.3
Capsule Hotel Anshin Oyado Akihabara,2022-12-13,2022-12-14,Tokyo,Hotel - 7.2km from city centre,DORMS,₩54894,13 Total Reviews,8.3
Little Japan,2022-12-13,2022-12-14,Tokyo,Hostel - 8.5km from city centre,PRIVATE,₩147663,67 Total Reviews,8.1
Little Japan,2022-12-13,2022-12-14,Tokyo,Hostel - 8.5km from city centre,DORMS,₩36916,67 Total Reviews,8.1
&AND HOSTEL MINAMISENJU,2022-12-13,2022-12-14,Tokyo,Hostel - 10.7km from city centre,PRIVATE,₩60120,5 Total Reviews,8.0
&AND HOSTEL MINAMISENJU,2022-12-13,2022-12-14,Tokyo,Hostel - 10.7km from city centre,DORMS,₩50340,5 Total Reviews,8.0
Juyoh Hotel,2022-12-13,2022-12-14,Tokyo,Hotel - 10.7km from city centre,PRIVATE,₩28238,124 Total Reviews,7.4
Juyoh Hotel,2022-12-13,2022-12-14,Tokyo,Hotel - 10.7km from city centre,DORMS,e,124 Total Reviews,7.4
